experiment,script,paradigm,seed,prompt,parameters_json,output_path,output_type,generation_time_sec,timestamp
exp7,GA18B,vision_uniform,42,,"{""ip_adapter_scale"": 0.8, ""num_inference_steps"": 25, ""reference_image"": ""items_variation""}",exp7_seed_sensitivity/ga18b_seed_seed42.png,image,1.515,2026-04-01 21:17:26
exp7,GA18C,vision_block,42,a cat inside of a box,"{""block_level_scale_config"": {""up"": {""block_0"": [0.0, 1.0, 0.0]}}, ""num_inference_steps"": 25, ""reference_image"": ""mamoeiro""}",exp7_seed_sensitivity/ga18c_seed_seed42.png,image,1.423,2026-04-01 21:17:28
exp7,GA18B,vision_uniform,123,,"{""ip_adapter_scale"": 0.8, ""num_inference_steps"": 25, ""reference_image"": ""items_variation""}",exp7_seed_sensitivity/ga18b_seed_seed123.png,image,1.568,2026-04-01 21:17:30
exp7,GA18C,vision_block,123,a cat inside of a box,"{""block_level_scale_config"": {""up"": {""block_0"": [0.0, 1.0, 0.0]}}, ""num_inference_steps"": 25, ""reference_image"": ""mamoeiro""}",exp7_seed_sensitivity/ga18c_seed_seed123.png,image,1.429,2026-04-01 21:17:32
exp7,GA18B,vision_uniform,456,,"{""ip_adapter_scale"": 0.8, ""num_inference_steps"": 25, ""reference_image"": ""items_variation""}",exp7_seed_sensitivity/ga18b_seed_seed456.png,image,1.525,2026-04-01 21:17:34
exp7,GA18C,vision_block,456,a cat inside of a box,"{""block_level_scale_config"": {""up"": {""block_0"": [0.0, 1.0, 0.0]}}, ""num_inference_steps"": 25, ""reference_image"": ""mamoeiro""}",exp7_seed_sensitivity/ga18c_seed_seed456.png,image,1.428,2026-04-01 21:17:36
exp7,GA18B,vision_uniform,789,,"{""ip_adapter_scale"": 0.8, ""num_inference_steps"": 25, ""reference_image"": ""items_variation""}",exp7_seed_sensitivity/ga18b_seed_seed789.png,image,1.51,2026-04-01 21:17:38
exp7,GA18C,vision_block,789,a cat inside of a box,"{""block_level_scale_config"": {""up"": {""block_0"": [0.0, 1.0, 0.0]}}, ""num_inference_steps"": 25, ""reference_image"": ""mamoeiro""}",exp7_seed_sensitivity/ga18c_seed_seed789.png,image,1.425,2026-04-01 21:17:40
exp7,GA18B,vision_uniform,1024,,"{""ip_adapter_scale"": 0.8, ""num_inference_steps"": 25, ""reference_image"": ""items_variation""}",exp7_seed_sensitivity/ga18b_seed_seed1024.png,image,1.613,2026-04-01 21:17:42
exp7,GA18C,vision_block,1024,a cat inside of a box,"{""block_level_scale_config"": {""up"": {""block_0"": [0.0, 1.0, 0.0]}}, ""num_inference_steps"": 25, ""reference_image"": ""mamoeiro""}",exp7_seed_sensitivity/ga18c_seed_seed1024.png,image,1.428,2026-04-01 21:17:44
exp7,GA18B,vision_uniform,2048,,"{""ip_adapter_scale"": 0.8, ""num_inference_steps"": 25, ""reference_image"": ""items_variation""}",exp7_seed_sensitivity/ga18b_seed_seed2048.png,image,1.566,2026-04-01 21:17:46
exp7,GA18C,vision_block,2048,a cat inside of a box,"{""block_level_scale_config"": {""up"": {""block_0"": [0.0, 1.0, 0.0]}}, ""num_inference_steps"": 25, ""reference_image"": ""mamoeiro""}",exp7_seed_sensitivity/ga18c_seed_seed2048.png,image,1.424,2026-04-01 21:17:48
exp7,GA18B,vision_uniform,3000,,"{""ip_adapter_scale"": 0.8, ""num_inference_steps"": 25, ""reference_image"": ""items_variation""}",exp7_seed_sensitivity/ga18b_seed_seed3000.png,image,1.499,2026-04-01 21:17:50
exp7,GA18C,vision_block,3000,a cat inside of a box,"{""block_level_scale_config"": {""up"": {""block_0"": [0.0, 1.0, 0.0]}}, ""num_inference_steps"": 25, ""reference_image"": ""mamoeiro""}",exp7_seed_sensitivity/ga18c_seed_seed3000.png,image,1.424,2026-04-01 21:17:51
exp7,GA18B,vision_uniform,4096,,"{""ip_adapter_scale"": 0.8, ""num_inference_steps"": 25, ""reference_image"": ""items_variation""}",exp7_seed_sensitivity/ga18b_seed_seed4096.png,image,1.601,2026-04-01 21:17:53
exp7,GA18C,vision_block,4096,a cat inside of a box,"{""block_level_scale_config"": {""up"": {""block_0"": [0.0, 1.0, 0.0]}}, ""num_inference_steps"": 25, ""reference_image"": ""mamoeiro""}",exp7_seed_sensitivity/ga18c_seed_seed4096.png,image,1.418,2026-04-01 21:17:55
