experiment,sub_experiment,script,model_name,sample_index,audio_duration_sec,sampling_rate,ground_truth_transcription,predicted_transcription,wer,cer,inference_time_sec,timestamp
exp5,5a,GA19B,facebook/wav2vec2-base-960h,114,22.272,16000,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you,MHAVEN E SHOES WITH THE ON MY BANKING APLE AT SHOR IT'S WRONG  TUT WHEN I TRY TO LOG IN IT KICKS CRASHING SO WHAT I'VE DONE HIS OVE TO LATED IT AND WING TOLED IT BUT IT STILL DOS THE FAINTING AND IT'S NOT WORKING AH IS THERE ANY WAY THAT YO CAN CALL ME BACK AN ERSYST ME THANK YOU,0.459,0.2123,0.03,2026-04-01 22:29:29
exp5,5a,GA19B,facebook/wav2vec2-base-960h,25,6.656,16000,I need to pay a bill ID like to make payment,I'M I ME TO PAY A BILL I'D LIKE TO MAKE PAYMENT,0.1818,0.1136,0.066,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,281,2.219,16000,I want to open a joint account,I WANT TO OPEN A JOINT ACCOUNT,0.0,0.0,0.024,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,250,8.52,16000,I'm going overseas and I need to check my credit card works ok but ok overseas,AM JANGAVASAYS AN I NEED TO CHECK MY CREDIT CADWORKS A THE CAI LIKE IAVA SAY,0.6875,0.3896,0.027,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,228,6.687,16000,I need to change my address,I NEED TO CHANGE MY ADDRESS,0.0,0.0,0.028,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,142,13.568,16000,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks,II NEED TO GET MONEY OUT TOMORR AND I'M JUST RUNNING AT ROME WHAT'S THE MAXEM I CAN WITHDRAW FROM THE COUNT THANKS,0.381,0.2182,0.033,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,104,2.645,16000,the App isn't working,THE AP ISN'T WORKING,0.25,0.05,0.024,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,558,14.954,16000,hello I'm I'm just calling about setting up a direct debit I'm I'm just hoping that you could help me I have never do this on the app and I just want to talk to someone about it to help you said everything up,HOVER I'M I'M JUST CALLING ABOUT SITTING UP A DIRECT DEVERT I'M I'M JUST HOPING THAT YOU COUL HELP ME I HAVEN'T BEEN ABLE DO THIS ARM ON THE APINO JUST WHENT TO TALK TO SOME ONE ABOUT IT TO HELP YOU KNOW SEIT EVERYTHING UP,0.3636,0.1912,0.033,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,89,13.056,16000,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me,EMAT AM AMON TE LOKMACAD OF LOSMACADS AN DED THE FREEZER TO STOPLE TRANSACTIONS CAN YOUAIN PLEASE DO THAT FOR ME,0.6154,0.2857,0.031,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,604,16.981,16000,g'day mate I'm making a large purchase online it says ill send me an SMS verification code or something not sure how that works could you explain it thanks,EH GET I MI AM I MAKING A LARGE PURCHASE ON WINE AT SIZIL SENDI AN ESEMES EFROCATION CARRID OR SOMETHING IM NOT SURE HOW THAT WORKS COULD YOU EXPLAIN THAT THANKS,0.5862,0.2745,0.034,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,432,8.448,16000,hi there I'm calling about a business loan I was wondering if I could get some information from you please,I THEH I'M CALLING ABOUT A BUSINESS LAND I WAS WONTEN IF I GET SOME INFORMATION FROM YO PLACE,0.35,0.1714,0.028,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,32,8.12,16000,I need to make a payment an overdue payment,YOU NEED TO MAKE A PAYMENT AN AVIDU PAYMENT,0.2222,0.1628,0.027,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,30,1.95,16000,bill payment,THE OL PIMANT,1.5,0.6667,0.024,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,95,14.933,16000,oh hi there I've just discovered that my card has gone missing and ID like to freeze my car so that no transaction connect her can you help me help me with that please thanks,OH HITHER I'M I'VE JUST DISCOVERED THAT MY CAD HAS GONE MISSING AND TAAM AT LATU FRASMA CAS AT AT NY TRANSACTIONS CAN OCCUR AM CAN YOU HELP THAT HELP ME WITH THAT PLACE THANKS,0.4857,0.2486,0.033,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,223,6.997,16000,hi I just said the address of my come please,WHY LET'S TAKE THE ADDRESS OF MY COUNT PLEAS,0.6,0.3182,0.025,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,238,5.461,16000,hello I was just wondering if I could please change my address thank you,HELLO I WAS JUST WONDERING IF I COULD PLEASE CHANGE MY IDRIFT THANK YOU,0.0714,0.0694,0.024,2026-04-01 22:29:32
exp5,5a,GA19B,facebook/wav2vec2-base-960h,517,4.864,16000,hello I was wondering if you could please show me my latest transaction,HELLO I WAS WONDERING IF YOU COULD PLEASE SHOW ME MY LATEST TRANSACTIONS,0.0769,0.0141,0.024,2026-04-01 22:29:32
exp5,5a,GA19B,facebook/wav2vec2-base-960h,616,3.901,16000,I'm just wondering how I can deposit money into the account,I'M JUST WONDERING HOW I CAN DEPARTET MONEY INTO THE ATTOWN,0.1818,0.1379,0.019,2026-04-01 22:29:32
exp5,5a,GA19B,facebook/wav2vec2-base-960h,27,6.912,16000,yes ID like to pay my bill today using a credit card,I YETHOD LIKE TO PAY MY BILL TO DAY USING A A CARTICOT,0.5,0.2885,0.025,2026-04-01 22:29:32
exp5,5a,GA19B,facebook/wav2vec2-base-960h,574,19.371,16000,hi I'm traffic lights payment prefer lots of money I do not know what to do with my messages and apparently chords,I I AM TRYINIC HERE MARGE PAYMENT PEFE LA SUM OF MONEY I DO NOT KNOW WHAT TO DO WITH MY MESSAGES HEN THE PAYMENT COURT OMASCOSTOT,0.6364,0.4071,0.038,2026-04-01 22:29:32
exp5,5a,GA19B,openai/whisper-tiny,114,22.272,16000,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you," I'm having issues with the online banking app on social networks wrong, but when I try to log in, it keeps crashing. So what I've done is of deleted it and reinstalled it, but it still does the same thing and it's not working. Is there any way that you can call me back and assist me? Thank you.",0.1803,0.0959,0.516,2026-04-01 22:35:02
exp5,5a,GA19B,openai/whisper-tiny,25,6.656,16000,I need to pay a bill ID like to make payment, I need to pay a bill. I'd like to make payment.,0.0,0.0,0.117,2026-04-01 22:35:02
exp5,5a,GA19B,openai/whisper-tiny,281,2.219,16000,I want to open a joint account, I want to open a joint account.,0.0,0.0,0.078,2026-04-01 22:35:02
exp5,5a,GA19B,openai/whisper-tiny,250,8.52,16000,I'm going overseas and I need to check my credit card works ok but ok overseas," I'm going overseas and I need to check my credit card works over K, but okay, I'll see you.",0.375,0.1948,0.184,2026-04-01 22:35:03
exp5,5a,GA19B,openai/whisper-tiny,228,6.687,16000,I need to change my address, I need to change my address.,0.0,0.0,0.073,2026-04-01 22:35:03
exp5,5a,GA19B,openai/whisper-tiny,142,13.568,16000,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks, I need to get to money tomorrow and I'm just wondering what's the maximum I can reach out from the count. Thanks.,0.2857,0.1818,0.2,2026-04-01 22:35:03
